  BasePosX	  BasePosY	  BasePosZ	  BaseOriX	  BaseOriY	  BaseOriZ	JointPos1X	JointPos1Y	JointPos1Z	JointPos2X	JointPos2Y	JointPos2Z	JointPos3X	JointPos3Y	JointPos3Z	JointPos4X	JointPos4Y	JointPos4Z	JointPos5X	JointPos5Y	JointPos5Z	JointPos6X	JointPos6Y	JointPos6Z	JointPos7X	JointPos7Y	JointPos7Z	JointPos8X	JointPos8Y	JointPos8Z	
 -0.000000	  0.227677	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.337677	  0.000000	 -0.110305	  0.091646	  0.000000	 -0.088676	 -0.088057	  0.000000	 -0.039353	 -0.079859	  0.000000	  0.160000	  0.337677	  0.000000	  0.110305	  0.091646	  0.000000	  0.088676	 -0.088057	  0.000000	  0.039353	 -0.079859	  0.000000	
 -0.000000	  0.225192	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.335192	  0.000000	 -0.092683	  0.093388	  0.000000	 -0.066371	 -0.085690	  0.000000	 -0.020004	 -0.066980	  0.000000	  0.160000	  0.335192	  0.000000	  0.092683	  0.093388	  0.000000	  0.066371	 -0.085690	  0.000000	  0.020004	 -0.066980	  0.000000	
 -0.000000	  0.222214	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.332214	  0.000000	 -0.075255	  0.095953	  0.000000	 -0.043724	 -0.082279	  0.000000	 -0.002324	 -0.054243	  0.000000	  0.160000	  0.332214	  0.000000	  0.075255	  0.095953	  0.000000	  0.043724	 -0.082279	  0.000000	  0.002324	 -0.054243	  0.000000	
 -0.000000	  0.218752	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.328752	  0.000000	 -0.058127	  0.099355	  0.000000	 -0.020818	 -0.077758	  0.000000	  0.013967	 -0.041842	  0.000000	  0.160000	  0.328752	  0.000000	  0.058127	  0.099355	  0.000000	  0.020818	 -0.077758	  0.000000	 -0.013967	 -0.041842	  0.000000	
 -0.000000	  0.214807	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.324807	  0.000000	 -0.041407	  0.103590	  0.000000	  0.002254	 -0.072065	  0.000000	  0.029177	 -0.029932	  0.000000	  0.160000	  0.324807	  0.000000	  0.041407	  0.103590	  0.000000	 -0.002254	 -0.072065	  0.000000	 -0.029177	 -0.029932	  0.000000	
 -0.000000	  0.210380	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.320380	  0.000000	 -0.025210	  0.108643	  0.000000	  0.025381	 -0.065143	  0.000000	  0.043658	 -0.018604	  0.000000	  0.160000	  0.320380	  0.000000	  0.025210	  0.108643	  0.000000	 -0.025381	 -0.065143	  0.000000	 -0.043658	 -0.018604	  0.000000	
 -0.000000	  0.205464	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.315464	  0.000000	 -0.009656	  0.114472	  0.000000	  0.048421	 -0.056958	  0.000000	  0.057750	 -0.007836	  0.000000	  0.160000	  0.315464	  0.000000	  0.009656	  0.114472	  0.000000	 -0.048421	 -0.056958	  0.000000	 -0.057750	 -0.007836	  0.000000	
 -0.000000	  0.200050	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.310050	  0.000000	  0.005126	  0.121014	  0.000000	  0.071224	 -0.047485	  0.000000	  0.071707	  0.002513	  0.000000	  0.160000	  0.310050	  0.000000	 -0.005126	  0.121014	  0.000000	 -0.071224	 -0.047485	  0.000000	 -0.071707	  0.002513	  0.000000	
 -0.000000	  0.194132	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.304132	  0.000000	  0.019009	  0.128186	  0.000000	  0.093643	 -0.036710	  0.000000	  0.085672	  0.012650	  0.000000	  0.160000	  0.304132	  0.000000	 -0.019009	  0.128186	  0.000000	 -0.093643	 -0.036710	  0.000000	 -0.085672	  0.012650	  0.000000	
 -0.000000	  0.187709	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.297709	  0.000000	  0.031868	  0.135883	  0.000000	  0.115539	 -0.024617	  0.000000	  0.099690	  0.022805	  0.000000	  0.160000	  0.297709	  0.000000	 -0.031868	  0.135883	  0.000000	 -0.115539	 -0.024617	  0.000000	 -0.099690	  0.022805	  0.000000	
 -0.000000	  0.180789	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.290789	  0.000000	  0.043593	  0.143986	  0.000000	  0.136779	 -0.011182	  0.000000	  0.113745	  0.033196	  0.000000	  0.160000	  0.290789	  0.000000	 -0.043593	  0.143986	  0.000000	 -0.136779	 -0.011182	  0.000000	 -0.113745	  0.033196	  0.000000	
 -0.000000	  0.173383	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.283383	  0.000000	  0.054086	  0.152356	  0.000000	  0.157228	  0.003619	  0.000000	  0.127774	  0.044022	  0.000000	  0.160000	  0.283383	  0.000000	 -0.054086	  0.152356	  0.000000	 -0.157228	  0.003619	  0.000000	 -0.127774	  0.044022	  0.000000	
 -0.000000	  0.165512	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.275512	  0.000000	  0.063272	  0.160835	  0.000000	  0.176738	  0.019816	  0.000000	  0.141674	  0.055460	  0.000000	  0.160000	  0.275512	  0.000000	 -0.063272	  0.160835	  0.000000	 -0.176738	  0.019816	  0.000000	 -0.141674	  0.055460	  0.000000	
 -0.000000	  0.157200	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.267200	  0.000000	  0.071098	  0.169247	  0.000000	  0.195143	  0.037438	  0.000000	  0.155295	  0.067639	  0.000000	  0.160000	  0.267200	  0.000000	 -0.071098	  0.169247	  0.000000	 -0.195143	  0.037438	  0.000000	 -0.155295	  0.067639	  0.000000	
 -0.000000	  0.148478	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.258478	  0.000000	  0.077548	  0.177411	  0.000000	  0.212244	  0.056506	  0.000000	  0.168437	  0.080608	  0.000000	  0.160000	  0.258478	  0.000000	 -0.077548	  0.177411	  0.000000	 -0.212244	  0.056506	  0.000000	 -0.168437	  0.080608	  0.000000	
 -0.000000	  0.139386	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.249386	  0.000000	  0.082641	  0.185151	  0.000000	  0.227796	  0.077025	  0.000000	  0.180873	  0.094296	  0.000000	  0.160000	  0.249386	  0.000000	 -0.082641	  0.185151	  0.000000	 -0.227796	  0.077025	  0.000000	 -0.180873	  0.094296	  0.000000	
 -0.000000	  0.129976	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.239976	  0.000000	  0.086436	  0.192328	  0.000000	  0.241495	  0.098960	  0.000000	  0.192417	  0.108516	  0.000000	  0.160000	  0.239976	  0.000000	 -0.086436	  0.192328	  0.000000	 -0.241495	  0.098960	  0.000000	 -0.192417	  0.108516	  0.000000	
 -0.000000	  0.120306	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.230306	  0.000000	  0.089022	  0.198861	  0.000000	  0.252994	  0.122216	  0.000000	  0.203001	  0.123041	  0.000000	  0.160000	  0.230306	  0.000000	 -0.089022	  0.198861	  0.000000	 -0.252994	  0.122216	  0.000000	 -0.203001	  0.123041	  0.000000	
 -0.000000	  0.110446	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.220446	  0.000000	  0.090507	  0.204728	  0.000000	  0.261925	  0.146616	  0.000000	  0.212724	  0.137713	  0.000000	  0.160000	  0.220446	  0.000000	 -0.090507	  0.204728	  0.000000	 -0.261925	  0.146616	  0.000000	 -0.212724	  0.137713	  0.000000	
 -0.000000	  0.100464	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.210464	  0.000000	  0.091000	  0.209975	  0.000000	  0.267944	  0.171874	  0.000000	  0.221844	  0.152514	  0.000000	  0.160000	  0.210464	  0.000000	 -0.091000	  0.209975	  0.000000	 -0.267944	  0.171874	  0.000000	 -0.221844	  0.152514	  0.000000	
 -0.000000	  0.090435	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.200435	  0.000000	  0.090594	  0.214699	  0.000000	  0.270783	  0.197581	  0.000000	  0.230753	  0.167621	  0.000000	  0.160000	  0.200435	  0.000000	 -0.090594	  0.214699	  0.000000	 -0.270783	  0.197581	  0.000000	 -0.230753	  0.167621	  0.000000	
 -0.000000	  0.080425	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.190425	  0.000000	  0.089363	  0.219042	  0.000000	  0.270316	  0.223178	  0.000000	  0.239906	  0.183489	  0.000000	  0.160000	  0.190425	  0.000000	 -0.089363	  0.219042	  0.000000	 -0.270316	  0.223178	  0.000000	 -0.239906	  0.183489	  0.000000	
 -0.000000	  0.070494	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.180494	  0.000000	  0.087348	  0.223158	  0.000000	  0.266639	  0.247965	  0.000000	  0.249588	  0.200963	  0.000000	  0.160000	  0.180494	  0.000000	 -0.087348	  0.223158	  0.000000	 -0.266639	  0.247965	  0.000000	 -0.249588	  0.200963	  0.000000	
 -0.000000	  0.060690	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.170690	  0.000000	  0.084562	  0.227173	  0.000000	  0.260124	  0.271210	  0.000000	  0.259419	  0.221215	  0.000000	  0.160000	  0.170690	  0.000000	 -0.084562	  0.227173	  0.000000	 -0.260124	  0.271210	  0.000000	 -0.259419	  0.221215	  0.000000	
 -0.000000	  0.051054	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.161054	  0.000000	  0.081007	  0.231173	  0.000000	  0.251343	  0.292383	  0.000000	  0.268090	  0.245271	  0.000000	  0.160000	  0.161054	  0.000000	 -0.081007	  0.231173	  0.000000	 -0.251343	  0.292383	  0.000000	 -0.268090	  0.245271	  0.000000	
 -0.000000	  0.041634	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.151634	  0.000000	  0.076675	  0.235216	  0.000000	  0.240925	  0.311261	  0.000000	  0.273768	  0.273561	  0.000000	  0.160000	  0.151634	  0.000000	 -0.076675	  0.235216	  0.000000	 -0.240925	  0.311261	  0.000000	 -0.273768	  0.273561	  0.000000	
 -0.000000	  0.032493	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.142493	  0.000000	  0.071557	  0.239355	  0.000000	  0.229467	  0.327816	  0.000000	  0.274366	  0.305813	  0.000000	  0.160000	  0.142493	  0.000000	 -0.071557	  0.239355	  0.000000	 -0.229467	  0.327816	  0.000000	 -0.274366	  0.305813	  0.000000	
 -0.000000	  0.023723	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.133723	  0.000000	  0.065649	  0.243648	  0.000000	  0.217479	  0.342181	  0.000000	  0.267457	  0.340698	  0.000000	  0.160000	  0.133723	  0.000000	 -0.065649	  0.243648	  0.000000	 -0.217479	  0.342181	  0.000000	 -0.267457	  0.340698	  0.000000	
 -0.000000	  0.015438	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.125438	  0.000000	  0.058953	  0.248161	  0.000000	  0.205218	  0.354779	  0.000000	  0.250882	  0.375144	  0.000000	  0.160000	  0.125438	  0.000000	 -0.058953	  0.248161	  0.000000	 -0.205218	  0.354779	  0.000000	 -0.250882	  0.375144	  0.000000	
 -0.000000	  0.007733	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.117733	  0.000000	  0.051490	  0.252910	  0.000000	  0.192531	  0.366350	  0.000000	  0.224682	  0.404642	  0.000000	  0.160000	  0.117733	  0.000000	 -0.051490	  0.252910	  0.000000	 -0.192531	  0.366350	  0.000000	 -0.224682	  0.404642	  0.000000	
